inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
LRKFCELHJPQGDJ-UHFFFAOYSA-N	16	0	0	16	0.103480828433286	0.0		0		
LSVBBJVITBGNFC-UHFFFAOYSA-N	13	0	0	13	0.0524847161981469	0.0		0		
LUQATNNNHABPSD-UHFFFAOYSA-N	1	0	0	1	0.0209014281265601	0.0		0		
LUZUAYAKZLCOCQ-BHHNFLQBSA-N	9	0	9	0	0.044310332375576	0.0	CHEMBL1333653	14	ALOX15 ALOX12 LMNA MAPT ffp	
LWUFTTJGUBUVRV-UHFFFAOYSA-N	5	0	0	5	0.0712623132651428	0.0		0		
LXXQULKYDCFOMA-UHFFFAOYSA-N	3	0	0	3	0.0558351683928466	0.0		0		
LYPJVUYYJLQGMG-UHFFFAOYSA-N	10	0	10	0	0.0430594220462906	0.0	CHEMBL1716713	1	P2RX4 APOBEC3G GLP1R GMNN IDH1	
LYUZOXNETFFKST-UHFFFAOYSA-N	1	0	0	1	0.0249636343970898	0.0		0		
LZAXPYOBKSJSEX-UHFFFAOYSA-N	2	0	2	0	0.0338650855739708	0.0	CHEMBL1328324	17	MYH4 MYH7 MYH10 Myh14 MYH9	
LZFKGFXHFPNEEJ-UHFFFAOYSA-N	1	0	0	1	0.0359485593335687	0.0		0		
MCDJQHQCVHCWJZ-XNTDXEJSSA-N	15	0	0	15	0.0365328987300246	0.0		0		
MCGIKONWYKDOFW-UHFFFAOYSA-N	129	0	0	129	0.0308743263301071	0.0		0		
MDBJHVGNCOQLDU-UHFFFAOYSA-N	7	0	7	0	0.0623849768301736	0.0	CHEMBL2134814	0	GNAS	
MDCWPGHEDOHDRN-UHFFFAOYSA-N	1	0	0	1	0.0383471914946174	0.0		0		
MGWUMZFAYGKELJ-JXMROGBWSA-N	21	0	0	21	0.0953493282888635	0.0		0		
MJIHNNLFOKEZEW-UHFFFAOYSA-N	4	0	4	0	0.1344423610283222	0.0	CHEMBL480	61	MAPT Chrm1 CYP2C19 LMNA TSHR	
MKNDSAMBNFQTRY-UHFFFAOYSA-N	1	0	0	1	0.0427760415341857	0.0		0		
MNKDJXAYPKSZHU-UHFFFAOYSA-N	2	0	0	2	0.0805579051326312	0.0		0		
MNWKVEIZMVREIO-VQHVLOKHSA-N	28	0	0	28	0.0349257288054037	0.0		0		
MRLAJFUGSBSFDH-UHFFFAOYSA-N	1	0	1	0	0.0480691015504224	0.0	CHEMBL1332055	1	TSHR GMNN TDP1 vpr	
MSKMVRIKGIRHLT-UHFFFAOYSA-N	1	0	0	1	0.0293129703409468	0.0		0		
MSSAIEVACVNALM-UHFFFAOYSA-N	10	0	0	10	0.1910174066569396	0.0		0		
MVVZUWYLWHNWDC-UHFFFAOYSA-N	1	0	0	1	0.1182742468535695	0.0		0		
